Title,Company,Location,Salary
マーケティングデータ分析/企画・事務・管理系,株式会社楡(中央事務所グループ),東京都 新宿区,"月給 280,000円 ~ 282,750円"
オペレーションスタッフ,カエル・デザイン・プロジェクト株式会社,東京都 港区,月給 22.8万円 ~ 40.0万円
データサイエンススペシャリスト データ活用を先導,ISD,東京都 渋谷区 神宮前,"年俸 1,001万円 ~ 1,505万円"
セキュリティコンサルタント・アナリスト,デロイト トーマツ サイバー合同会社,東京都 千代田区,"月給 310,000円 ~ 379,225円"
市場調査分析スタッフ 仮説構築提示,株式会社ー心堂[1000005],東京都 千代田区 丸の内,年俸 450万円 ~ 700万円
データサイエンティスト・アナリスト,データアナリティクスラボ株式会社,東京都 港区,月給 26万円 ~ 40万円
オペレーションスタッフ,カエル・デザイン・プロジェクト株式会社,東京都 港区,月給 22.8万円 ~ 40.0万円
"IT/データエンジニア/Python,SQL/EC事業データアナリスト業務",株式会社Arkanoids,東京都 品川区 上大崎,月給 60万円 ~ 70万円
"Tableau,SQL/データ活用コンサルティングを行うエンジニア",株式会社Arkanoids,東京都 港区 高輪,月給 60万円 ~ 70万円
ROBOPROの成長を支援するデータアナリスト,アイ・メディカ株式会社,東京都 千代田区,年俸 550万円 ~ 900万円
"IT/SQLエンジニア/SQL,データ分析/情報基盤データアナリスト業務",株式会社Arkanoids,東京都 千代田区 永田町,月給 100万円 ~ 120万円
ゲームアナリスト:社員,サイバーエージェントグループ,東京都 渋谷区 宇田川町,年収 360万円 ~ 800万円
マーケティング・インサイドセールス,株式会社無限,東京都 新宿区 西新宿,月給 25万円 以上
カスタマーサポート・ヘルプデスク,株式会社データミックス,東京都 千代田区,年俸 450万円 ~ 800万円
ビジネス職,株式会社プログリット,東京都,月給 28.2万円
AI活用提案スタッフ 課題解決,株式会社ー心堂[1700013],東京都 豊島区 東池袋,年俸 500万円 ~ 800万円
【26卒】長期インターン_IS,HRクラウド株式会社,東京都 千代田区 神田神保町,"時給 1,113円"
SEOディレクター,株式会社アライバルクオリティー,東京都 渋谷区 代官山駅,月給 25万円 ~ 62万円
BAエンジニア,株式会社 メトロ,東京都 品川区 大崎駅,月給 25.6万円 ~ 47.8万円
-経営戦略室メンバー,株式会社coly,東京都 港区 赤坂,年収 600万円 ~ 850万円
一般事務,株式会社フェズ,東京都 千代田区,年俸 400万円 ~ 600万円
データアナリスト,情報ビルダーズ,東京都 港区,月給 36.5万円
正社員　データ解析のプロフェッショナル,2nd Community株式会社,東京都 渋谷区,"月給 333,300円 ~ 582,000円"
【聖蹟桜ヶ丘/25万円~】ITヘルプデスクサポート窓口,株式会社ハイヤーフォース,東京都 多摩市,"月給 253,700円 ~ 300,000円"
25新卒,株式会社ADDIX,東京都 港区 南青山,月給 25万円
データ利活用推進スタッフ データ活用を支援,株式会社ー心堂[1020082],東京都 千代田区 一番町,年俸 600万円 ~ 900万円
データ調査スタッフが課題解決,株式会社ー心堂[1500031],東京都 渋谷区 桜丘町,年俸 500万円 ~ 800万円
クレジットアナリスト|ビジネスアナリスト,イオンフィナンシャルサービス株式会社,一部在宅 in 東京都 千代田区 神田錦町,月給 43.1万円 ~ 53.8万円
コンサル/海外向け新規ソーシャルエンタメ事業のデータアナリスト,ギークス株式会社,東京都 渋谷区 渋谷駅,月給 90万円 ~ 110万円
データ分析/データ成形_122433,株式会社メディカルフロンティア,東京都 港区 御成門駅,年俸 400万円 ~ 700万円
【データアナリスト|経験5年】メガベンチャーにおけるデータ分析支援,株式会社ビズリンク,一部在宅 in 東京都 品川区 目黒駅,月給 80万円
データアナリスト・データサイエンティスト,株式会社Belong,東京都 港区,"月給 222,039円 ~ 343,750円"
新規ITサービス企画・開発 キャッシュレス決済×新規事業,romtechjapan,東京都 中央区,月給 29万円
【リモート可】データアナリスト(プライム上場/フルフレックス制),株式会社インテージ,東京都 千代田区,年収 500万円 ~ 700万円
新卒採用 総合職,松井証券株式会社,東京都,月給 30万円
【障がい者採用】調達・生産企画室リサーチグループ/マーケティング・アナリスト、データサイエンティスト,東京エレクトロングループ,東京都 港区 赤坂,正社員
データサイエンティスト・アナリスト,株式会社ココナラ,フルリモート in 東京都 渋谷区,"月給 416,666円 ~ 666,666円"
GA4の設定業務!,大手出版社,東京都 千代田区,月給 38万円 ~ 45万円
データアナリスト・データサイエンティスト,株式会社 バンダイ,東京都 台東区,月給 30万円 ~ 40万円
データ調査スタッフが課題解決,株式会社ー心堂[1500031],東京都 渋谷区 桜丘町,年俸 500万円 ~ 800万円
Web/ITその他,AKKODiSコンサルティング株式会社,東京都 渋谷区 渋谷駅,"時給 2,500円"
臨床試験コンサルタント データ品質確保,株式会社ー心堂[1040032],東京都 中央区 八丁堀,年俸 470万円 ~ 600万円
セキュリティ強化担当スタッフ インシデント対応,株式会社ー心堂[1500002],東京都 渋谷区 渋谷,年俸 658万円 ~ 910万円
データアナリスト・データサイエンティスト,SMBCコンシューマーファイナンス株式会社,東京都 江東区,"月給 340,000円 ~ 453,500円"
経理アナリスト業績を向上させる,ISD,東京都 港区 西新橋,年俸 450万円 ~ 850万円
データエンジニア,クラウドエース/吉積ホールディングス/吉積情報,フルリモート in 東京都 千代田区 大手町,"月給 333,333円 ~ 625,000円"
データサイエンティスト・アナリスト,ミネベアミツミ株式会社,東京都 港区,月給 35万円 ~ 45万円
データアナリスト~100%プライム案件 /案件継続度100%/リモート可/副業可~,type転職エージェント,東京都 港区 芝浦,正社員
マーケター支援 ブランディング向上,株式会社ー心堂[1500044],東京都 渋谷区 円山町,年俸 450万円 ~ 700万円
マーケティング/データアナリスト,株式会社バイオフィリア,一部在宅 in 東京都 目黒区 中目黒駅,年収 700万円 ~ 900万円
【エンジニア】データパイプラインエンジニア(APIソリューション SL),サイオス株式会社,東京都 港区 南麻布,"年収 700万円 ~ 1,200万円"
データマイニング専門家 アクションを導き出す,株式会社ー心堂[1500001],東京都 渋谷区 神宮前,年俸 560万円 ~ 756万円
家族向け金融サービスのデータアナリスト,株式会社Senyou,一部在宅 in 東京都 23区,月給 80万円 ~ 90万円
データサイエンティスト,コクー株式会社,東京都 千代田区 神田神保町,月給 26万円 以上
総務部・社内情報システムメンバー(セキュリティ),株式会社シーイーシー,東京都 渋谷区 恵比寿南,月給 25.8万円 ~ 37.0万円
[165]シニアアナリスト候補,株式会社インターネットイニシアティブ,東京都 千代田区,正社員
Pythonデータ分析可視化PJ支援,株式会社Arkanoids,東京都 千代田区,月給 60万円 ~ 80万円
データサイエンティスト・アナリスト,ルネサス エレクトロニクス株式会社,東京都 小平市,"月給 300,000円 ~ 588,235円"
MLエンジニア,合同会社DMM.com,東京都 港区 六本木,"年収 600万円 ~ 1,200万円"
データアナリスト・データサイエンティスト,Sansan株式会社,東京都 渋谷区,月給 26.2万円
データ分析スペシャリストサービス向上推進,ISD,東京都 千代田区 一番町,年俸 550万円 ~ 900万円
システムエンジニア,株式会社ビリケンコンサルタント,東京都 豊島区,月給 55万円 ~ 65万円
【istyle】マーケティングアナリスト,istyle,東京都 港区 赤坂,"月給 357,143円"
ストラテジスト,株式会社アライバルクオリティー,東京都 渋谷区 代官山駅,月給 25万円 ~ 62万円
データアナリスト・データサイエンティスト,アシュリオン・ジャパン株式会社,一部在宅 in 東京都 港区,"月給 500,000円 ~ 708,400円"
データアナリスト　/　モビリティ会社,クライス&カンパニー,東京都 港区 麻布台,年収 600万円 ~ 900万円
健康投資型医療推進ベンチャーで医療ビッグデータのデータアナリスト,株式会社RDサポート,東京都 千代田区,年収 400万円 ~ 700万円
アソシエイト,Quantitative Consulting 株式会社,東京都 港区 虎ノ門, 
機械学習(AI) エンジニア,株式会社 ROSSO,東京都 渋谷区 代々木公園駅,月給 25万円 ~ 50万円
システムエンジニア/データアナリスト,GO株式会社,東京都 港区 神谷町駅,"年収 900万円 ~ 1,200万円"
データアナリスト・データサイエンティスト,デロイト トーマツ ファイナンシャルアドバイザリー合同会社,東京都 千代田区,"月給 386,183円 ~ 429,166円"
データアナリスト・データサイエンティスト,キャル株式会社(東京本社),東京都 千代田区 秋葉原駅,月給 30万円 ~ 55万円
データアナリスト・データサイエンティスト,デロイト トーマツ ファイナンシャルアドバイザリー合同会社,東京都 千代田区,"月給 386,183円 ~ 429,166円"
データサイエンティスト・アナリスト,株式会社ししまろ,一部在宅 in 東京都 台東区,"月給 350,000円 ~ 708,333円"
A-1.Tech_データエンジニア/インターネット/Webサービス・ASP,BASE株式会社,東京都 港区 六本木,"年収 600万円 ~ 1,200万円"
【新御茶ノ水】バックエンド・GOエンジニア,株式会社WACUL,東京都 千代田区,年俸 630万円 ~ 850万円
マーケティングリサーチャー/集計データのチェック(駅近),株式会社クロス・マーケティンググループ,東京都 新宿区,年収 400万円 ~ 800万円
【メディア事業部】アドプランナー,サイバーエージェントグループ,東京都 渋谷区 宇田川町,正社員
経営管理　ファイナンシャルアナリスト(既卒者採用),Procter & Gamble,東京都 中央区,長期
データアナリスト・データサイエンティスト,株式会社NTTドコモ,東京都 千代田区,月給 20万円 ~ 23万円
データサイエンティスト・アナリスト,株式会社NTTデータ,東京都 千代田区,月給 72万円 ~ 103万円
アナリストエンジニア,株式会社 プロトシステム,東京都 千代田区 麹町,"月給 221,400円 ~ 271,800円"
自然災害リスク評価モデル開発・リスク計測(気象災害・天候リスク),SOMPOリスクマネジメント株式会社,東京都 新宿区 西新宿,"年収 400万円 ~ 1,000万円"
データアナリスト・データサイエンティスト,株式会社 アドバンテスト,東京都 千代田区,月給 35万円 ~ 50万円
データ基盤設計設計者 データを統合,ISD,東京都 港区 芝浦,年俸 550万円 ~ 850万円
【The SAZABY LEAGUE】EC・WEB,株式会社サザビーリーグ,東京都 渋谷区 千駄ケ谷駅,"年収 1,000万円 ~ 1,200万円"
データアナリスト　又は　数値解析エンジニア,国立研究開発法人　海上・港湾・航空技術研究所　海上技術安全研究所　2,東京都 三鷹市 新川,"時給 1,380円"
人事(採用・教育),株式会社unerry,一部在宅 in 東京都 港区,"月給 253,969円 ~ 500,000円"
データアナリスト・データサイエンティスト,SBIインシュアランスグループ株式会社,東京都 港区,"月給 583,333円 ~ 666,666円"
データアナリスト・データサイエンティスト,太陽ホールディングス株式会社,東京都 豊島区,月給 44.5万円 ~ 68.0万円
データエンジニア/インターネット/Webサービス・ASP,株式会社YOUTRUST,一部在宅 in 東京都 渋谷区 東,"年収 700万円 ~ 1,000万円"
コンサルタント事業部 コンサルタント(未経験者),株式会社ビジョン・コンサルティング,東京都 新宿区 四谷,月給 35万円 ~ 142万円
レバレジーズ/マーケティング部/渋谷/マーケ/データアナリスト(ポテンシャル),type転職エージェント,東京都 渋谷区 渋谷駅,正社員
ソリューション提案するデータマネジメントスタッフ,株式会社ー心堂[1060031],東京都 港区 西麻布,"年俸 750万円 ~ 1,000万円"
マーケティング/データアナリスト,株式会社Mintel　Japan,一部在宅 in 東京都 千代田区 東京駅,"年収 800万円 ~ 1,000万円"
新卒採用 市場リスク管理/信用リスク管理/AI/データ分析等,ソニー銀行株式会社,東京都,"月給 279,167円 ~ 295,834円"
管理部門,SREホールディングス株式会社,東京都 港区 赤坂,年収 800万円
Webマーケティング(ネット広告・販促PRなど),株式会社YOUTRUST,一部在宅 in 東京都 渋谷区,"月給 250,000円 ~ 541,666円"
投資銀行部門向けSalesforce 開発者,野村證券株式会社,東京都 千代田区 大手町,正社員
データ解析コンサルタント,株式会社D4cプレミアム,東京都 港区,"年俸 605万円 ~ 1,800万円"
データサイエンティスト・アナリスト,株式会社ナガセ,東京都 文京区,"月給 428,000円 ~ 526,200円"
データサイエンティスト・アナリスト,セカンドサイトアナリティカ株式会社,東京都 千代田区,月給 40万円 ~ 50万円
データサイエンティスト/ビジネスアナリスト(サービス/プロダクト企画・改善),株式会社 本田技術研究所,東京都 港区 赤坂,"年収 450万円 ~ 1,000万円"
システムエンジニア/データエンジニア,株式会社クリーク・アンド・リバー社,東京都 港区,"年収 600万円 ~ 1,200万円"
営業事務・アシスタント,株式会社シェアードリサーチ,東京都 千代田区,"月給 291,600円 ~ 416,600円"
コンテンツディレクター,株式会社アライバルクオリティー,東京都 渋谷区 代官山駅,月給 25万円 ~ 62万円
オープンポジション　/　ITサービス企業,クライス&カンパニー,東京都 渋谷区,"年収 450万円 ~ 1,200万円"
セキュリティ リサーチャー/アナリスト,type転職エージェント,東京都 千代田区 大手町駅,正社員
データアナリスト,株式会社スタープロジェクト,東京都 渋谷区 桜丘町,年俸 350万円 ~ 500万円
マーケティング関連業務/高給与/東京,株式会社インフェス,東京都 新宿区 西新宿,月給 45万円 ~ 55万円
データサイエンティスト,株式会社テックビズ,東京都 品川区,月給 47万円 ~ 52万円
CTO/フルスタック/データエンジニア/AIスタートアップで地方初の上場を目指す,株式会社イグアス,東京都 新宿区,月給 70万円 ~ 150万円
マーケティングスタッフ 業務改善を提案,株式会社ー心堂[1080075],東京都 港区 港南,年俸 400万円 ~ 700万円
テクノロジー戦略コンサルタント・外資系コンサルファーム,アイ・メディカ株式会社,東京都 新宿区 西新宿,"年俸 600万円 ~ 2,500万円"
データサイエンティスト・アナリスト,コスモ石油株式会社,東京都 港区,"月給 425,800円 ~ 653,594円"
地盤調査アナリスト 安全分析,ISD,東京都 品川区 上大崎,年俸 500万円 ~ 700万円
データアナリスト・データサイエンティスト,株式会社トリドールホールディングス,東京都 渋谷区,"月給 583,333円 ~ 666,666円"
DX推進マネージャー　128066,東京都千代田区有楽町1丁目(Besides　株式会社ビサイズ),東京都 千代田区,"年俸 800万円 ~ 1,130万円"
マーケティング部・データ&インサイトチーム,ヘイズ・スペシャリスト・リクルートメント・ジャパン株式会社,東京都 23区,正社員
マーケター支援 ブランディング向上,株式会社ー心堂[1500044],東京都 渋谷区 円山町,年俸 450万円 ~ 700万円
戦略立案スペシャリスト業務を推進,株式会社ー心堂[1500001],東京都 渋谷区 神宮前,月給 500万円 ~ 700万円
【カスタマーP&M本部 データビジネス統括部】東京/データアナリスト/「doda」,パーソルキャリア株式会社,東京都 千代田区 丸の内,"月給 375,700円 ~ 1,000,700円"
【TF】AI&データ戦略コンサルタント,株式会社電通デジタル,東京都 港区 東新橋,"月給 289,088円 ~ 1,308,450円"
データアナリスト・データサイエンティスト,ネットパイロティング株式会社,東京都,"月給 243,800円 ~ 541,666円"
データサイエンティスト・アナリスト,株式会社クニエ,東京都 千代田区,"年収 500万円 ~ 1,200万円"
人事/給与分析/データアナリスト,トリンプ・インターナショナル・ジャパン株式会社,一部在宅 in 東京都 中央区,年収 500万円 ~ 600万円
《東京》 GLOBIS 学び放題 toB事業_営業企画・カスタマーサクセス (プロフェッショナル職),株式会社グロービス,東京都 千代田区 麹町,正社員
データアナリスト・データサイエンティスト,株式会社出前館,東京都 渋谷区,"年収 600万円 ~ 1,300万円"
データエンジニア/データアナリスト,デロイトトーマツ税理士法人,東京都 千代田区 日比谷駅,正社員
美容医療クリニックの戦略分析　122433,東京都港区(Besides　株式会社ビサイズ),東京都 港区,年俸 400万円 以上
Base-SAS/Pythonを用いたヘルスケアレコード データアナリスト/システムエンジニア,harmo株式会社,東京都 港区 芝浦,正社員
ソフトウェアエンジニア,コグラフ株式会社,東京都 品川区,年収 301.4万円 ~ 319.7万円
Base-SAS/Pythonを用いたヘルスケアレコード データアナリスト/システムエンジニア,harmo株式会社,東京都 港区 芝浦,正社員
【東証プライム上場】データアナリスト,株式会社アクシアム,東京都 23区,"年収 500万円 ~ 1,200万円"
一般事務・OA事務,パーソルテンプスタッフ株式会社,一部在宅 in 東京都 千代田区,"時給 1,900円 以上"
WEBマーケティング/SNSマーケティング(EC運営・ネット広告),株式会社Muscle Holdings,東京都 品川区 東五反田,月給 30万円 ~ 50万円
コンサルタント/法人営業【土日祝休み/リモート有/月平均残業15時間】,株式会社Growth DX,東京都 千代田区,年収 600万円 ~ 800万円
システムエンジニア/データアナリスト/動体データ分析,GO株式会社,東京都 港区 神谷町駅,"年収 600万円 ~ 1,200万円"
データサイエンティスト・アナリスト,株式会社大和総研,東京都 千代田区,月給 26.5万円 ~ 50.0万円
データアナリスト,株式会社NTTデータビジネスシステムズ,東京都 豊島区 池袋駅,正社員
データアナリスト・データサイエンティスト,株式会社バンダイナムコネクサス,東京都 港区,"年収 740万円 ~ 1,280万円"
データアナリスト・データサイエンティスト,株式会社三井住友銀行,東京都,月給 25.5万円 ~ 60.0万円
AIエンジニア・MLエンジニア/東京,株式会社メンバーズ,東京都 中央区 晴海,"年収 390万円 ~ 1,000万円"
データビジネスプランナー/事業推進担当(リーダー),三井住友カード株式会社,東京都 江東区 豊洲駅,"年収 600万円 ~ 1,300万円"
データアナリスト・データサイエンティスト,株式会社オプティム,東京都 港区,月給 30.2万円 ~ 75.3万円
【学校・教育委員会向け事業】事業企画(データアナリスト・戦略コンサルタント ),ライフイズテック株式会社,東京都 港区 白金高輪駅,正社員
マーケティングプランナー,トライベック株式会社,東京都 港区 青山一丁目駅,正社員
マーケティング部/渋谷/マーケ/データアナリスト,type転職エージェント,東京都 渋谷区 渋谷駅,正社員
ITコンサルタント,株式会社Challenge Fund,東京都 千代田区,月給 40万円 ~ 65万円
サステナビリティ・データエキスパート CoE　/ 総合コンサルティングファーム,クライス&カンパニー,東京都 千代田区,"年収 1,000万円 ~ 2,000万円"
法人営業,株式会社WACUL,東京都 千代田区 神田小川町,"年俸 1,100万円 ~ 2,000万円"
マーケティングスペシャリスト 고객 분석 전략 제안,株式会社ー心堂[1010021],東京都 千代田区 外神田,年俸 600万円 ~ 750万円
新卒採用 エンジニア,株式会社ネットプロテクションズ,東京都,年収 370万円
セキュリティ管理チーム データ収集,株式会社ー心堂[1080023],東京都 港区 芝浦,年俸 440万円 ~ 700万円
Webアナリスト市場調査,株式会社ー心堂[1060032],東京都 港区 六本木,年俸 400万円 ~ 750万円
[派]≪在宅有≫有名ゲーム会社私服*/データアナリスト(SQL),株式会社キャリアデザインセンター,東京都 港区,"時給 2,500円 ~ 2,700円"
Tableauデータ活用コンサルティング業務,株式会社Arkanoids,東京都 港区,年収 720万円 ~ 840万円
事業企画・新規事業開発,株式会社スマートドライブ,一部在宅 in 東京都 千代田区,"月給 545,018円"
大手ネット印刷プラットフォームのデータアナリスト,株式会社ハルミナ,東京都 渋谷区 渋谷,月給 50万円 ~ 70万円
生成AIを活用した業務変革コンサルタント,株式会社日立コンサルティング,東京都 千代田区 麹町, 
データサイエンティスト・アナリスト,エヌ・ティ・ティ・データ先端技術株式会社,一部在宅 in 東京都 中央区,"月給 415,800円 ~ 583,332円"
ビジネスアナリスト /Business Analyst,フィデル・コンサルティング株式会社,東京都 23区,年収 700万円 ~ 800万円
データサイエンティスト・アナリスト,エヌ・ティ・ティ・データ先端技術株式会社,一部在宅 in 東京都 中央区,"月給 415,800円 ~ 583,332円"
【マーケティングエンジニア(アナリティクス)】_マネーフォワード クラウド_東京(田町)/モバイル/アプリサービス,株式会社マネーフォワード,東京都 港区 芝浦,"年収 700万円 ~ 1,100万円"
データアナリスト,株式会社プロトシステム,東京都 千代田区,年俸 300万円 ~ 400万円
ビジネスプロデューサー,株式会社ADDIX,東京都 港区 南青山,年俸 438万円 ~ 864万円
データアナリスト,日本キャリアグループ株式会社,東京都 千代田区,月給 58万円 ~ 167万円
【New】 Webアナリスト,イントリックス株式会社,東京都 品川区 北品川,正社員
IR担当,株式会社エニグモ,東京都 港区 青山一丁目駅,年収 500万円 ~ 700万円
【コンサル未経験可】サーキュラーエコノミーコンサルタント 〜顧客の構想策定から実行までを支援〜,株式会社日立コンサルティング,東京都 千代田区 麹町,長期
《東京》SEOマーケティング担当(SEOスペシャリスト/コンテンツSEO)(エキスパート職),株式会社グロービス,一部在宅 in 東京都 千代田区 麹町,正社員
【テク】Re:Career採用,株式会社サイバーエージェント,東京都 渋谷区 宇田川町,新卒
フリーランス/高給与/シェアハウス/システムエンジニア/C#,株式会社インフェス,東京都 新宿区 西新宿,月給 60万円 ~ 70万円
[348]セキュリティエンジニア※オープンポジション※,株式会社インターネットイニシアティブ,東京都 千代田区,正社員
マーケティング/マーケティングデータアナリスト,株式会社プレイド,東京都 中央区 銀座駅,"年収 500万円 ~ 1,000万円"
≪BIエンジニア≫業界大手会社におけるPowerBIを用いたBI開発業務,株式会社FREE BRAIN,東京都 港区,月給 95万円 以上
経営管理業務支援,株式会社インフェス,東京都 千代田区 丸の内,月給 45万円 ~ 60万円
WEBアナリスト,Zenken株式会社,東京都 新宿区 都庁前駅,月給 24万円 ~ 35万円
フリーランス/高給与/シェアハウス/PMO,株式会社インフェス,東京都 新宿区 西新宿,月給 60万円 ~ 70万円
マーケ戦略立案スタッフ 販促施策企画,株式会社ー心堂[1500044],東京都 渋谷区 円山町,年俸 450万円 ~ 700万円
データアナリスト【Power BIへの移行プロジェクト】,Michael Page,東京都 23区,"年収 700万円 ~ 1,200万円"
マーケティングアナリスト,株式会社カプコン,東京都 新宿区 都庁前駅,正社員
データサイエンティスト・アナリスト,株式会社U-NEXT,東京都 品川区,月給 45万円 ~ 50万円
《東京》WEBサイト企画・アナリスト(プロフェッショナル職),株式会社グロービス,一部在宅 in 東京都 千代田区 麹町,正社員
JALサイトを牽引する!マークアップエンジニア,株式会社JALブランドコミュニケーション,東京都 品川区,月給 23.8万円 ~ 33.8万円
データアナリスト/ Data Analyst,Robert Walters,東京都,インターンシップ
リサーチ・データ分析,日本キャリアグループ株式会社,東京都 千代田区,月給 42万円 ~ 83万円
【リモート可】データアナリスト,株式会社マイベスト,東京都 中央区,"年収 744万円 ~ 1,100万円"
デジタルコンサルタント/専門コンサルタント業界,株式会社ベイカレント・コンサルティング,東京都 港区,月給 35万円 以上
Python/データアナリスト,ギークス株式会社,東京都 渋谷区 渋谷駅,月給 65万円 ~ 90万円
アナリスト,株式会社産業革新投資機構,東京都 港区,年収 740万円 ~ 940万円
調査推進スタッフ PDCAサイクルを最適化,株式会社ー心堂[1700013],東京都 豊島区 東池袋,年俸 600万円 ~ 900万円
データアナリスト・データサイエンティスト,株式会社三井住友銀行,東京都,月給 25.5万円 ~ 60.0万円
SID2408_セキュリティアナリスト,NTTデータ先端技術株式会社,東京都 中央区 月島,正社員
セキュリティ管理チーム データ収集,株式会社ー心堂[1080023],東京都 港区 芝浦,年俸 440万円 ~ 700万円
"【東京】データ活用【BA,BI,データ分析領域】",type転職エージェント,東京都 品川区 大崎駅,正社員
[派]≪在宅有≫有名ゲーム会社私服*/データアナリスト(SQL),株式会社キャリアデザインセンター,東京都 港区,"時給 2,500円 ~ 2,700円"
【マーケティングエンジニア(アナリティクス)】_マネーフォワード クラウド_東京(田町)/モバイル/アプリサービス,株式会社マネーフォワード,東京都 港区 芝浦,"年収 700万円 ~ 1,100万円"
データサイエンティスト・アナリスト,エヌ・ティ・ティ・データ先端技術株式会社,一部在宅 in 東京都 中央区,"月給 415,800円 ~ 583,332円"
データサイエンティスト,株式会社マツリカ,東京都 中央区 東日本橋,"年収 400万円 ~ 1,300万円"
販促企画・営業企画,株式会社ユーザベース,東京都 千代田区,年俸 500万円 ~ 800万円
Tableauデータ活用コンサルティング業務,株式会社Arkanoids,東京都 港区,年収 720万円 ~ 840万円
データアナリスト/ Data Analyst,Robert Walters,東京都,インターンシップ
【財務・経理本部】グローバルなIR活動を担うスタッフ,株式会社ニコン,東京都 港区 港南,"年収 570万円 ~ 1,020万円"
デジタル集客戦略立案マネージャー,株式会社ー心堂[1050011],東京都 港区 芝公園,"年俸 650万円 ~ 1,200万円"
マーケティング/マーケティングデータアナリスト,株式会社プレイド,東京都 中央区 銀座駅,"年収 500万円 ~ 1,000万円"
IT法人営業,コグラフ株式会社,東京都 品川区,年収 330万円 ~ 400万円
デジタル集客戦略立案マネージャー,株式会社ー心堂[1050011],東京都 港区 芝公園,"年俸 650万円 ~ 1,200万円"
マーケティング/マーケティングデータアナリスト,株式会社プレイド,東京都 中央区 銀座駅,"年収 500万円 ~ 1,000万円"
【原則リモート勤務】データアナリスト,株式会社ビーグリー,東京都 港区,年収 400万円 ~ 600万円
≪BIエンジニア≫業界大手会社におけるPowerBIを用いたBI開発業務,株式会社FREE BRAIN,東京都 港区,月給 95万円 以上
システムエンジニア/データアナリスト,Septeni　Japan株式会社,東京都 新宿区 西新宿駅,年収 500万円 ~ 800万円
業務委託/データインサイトに基づくマーケティング戦略強化プロジェクト,株式会社デジタルトランスフォーメーション,東京都 豊島区 池袋駅,月給 70万円
Snowflakeエンジニア,Supership株式会社,東京都 港区 虎ノ門,正社員
戦略コンサルタント(マネージャー),株式会社WACUL,東京都 千代田区 神田小川町,"年俸 1,100万円 ~ 2,000万円"
財務管理スタッフ 業務改善,株式会社ー心堂[1070052],東京都 港区 赤坂,"年俸 1,000万円 ~ 1,300万円"
リードデータアナリスト,株式会社Algoage,東京都 文京区 湯島,正社員
マーケティングアナリスト,株式会社カプコン,東京都 新宿区 都庁前駅,正社員
データサイエンティスト・アナリスト,株式会社U-NEXT,東京都 品川区,月給 45万円 ~ 50万円
営業支援・プリセールス,株式会社ユーザベース,東京都 千代田区,年俸 500万円 ~ 800万円
新卒採用 【プロフェッショナルエンジニアコース:AIエンジニア】,SBテクノロジー株式会社,東京都,月給 25万円 ~ 32万円
データサイエンス専門家 課題を解決する,株式会社ー心堂[1080073],東京都 港区 三田,"年俸 1,000万円 ~ 2,000万円"
データアナリスト・データサイエンティスト,SOMPOホールディングス株式会社,東京都 新宿区,"月給 509,061円"
リサーチアナリスト,GEM Partners 株式会社,東京都 港区 表参道駅,正社員
SXビジネスコンサルタント 〜企業のサステナビリティ・トランスフォーメーションを支援〜,株式会社日立コンサルティング,東京都 千代田区 麹町,マネージャー採用+1
マーケティング戦略担当事業強化,株式会社ー心堂[1010021],東京都 千代田区 外神田,年俸 500万円 ~ 800万円
飲食店課題解決コンサルタント,株式会社ー心堂[1000006],東京都 千代田区 有楽町,年俸 350万円 ~ 395万円
【東京】DX推進,八千代エンジニヤリング株式会社,東京都 台東区 浅草橋,"年収 420万円 ~ 1,138万円"
[348]セキュリティエンジニア※オープンポジション※,株式会社インターネットイニシアティブ,東京都 千代田区,正社員
メディアプロデューサー/マネージャー候補,株式会社イトクロ,東京都 品川区 上大崎,年収 400万円 ~ 700万円
【Technology】BIエンジニア/データアナリスト,JLL,東京都 渋谷区, 
データ戦略構築エンジニア データ解析,株式会社ー心堂[1080023],東京都 港区 芝浦,年俸 440万円 ~ 900万円
証券・金融・保険,日本銀行,東京都 中央区,"月給 178,530円 ~ 224,430円"
ビジネスデザイン・トランスフォーメーションコンサルタント 〜事業や組織のデザイン・デジタルテクノロジーを軸にクライアントのビジネスを変革〜,株式会社日立コンサルティング,東京都 千代田区 麹町,長期
営業アシスタント 业务拡張,株式会社ー心堂[1080022],東京都 港区 海岸,年俸 450万円 ~ 650万円
その他コンピュータ関連職,株式会社ミライアル 有料職業紹介事業認可番号 27ユ303510,東京都 港区 東新橋,"月給 289,000円 ~ 1,035,850円"
12【東京】SEOコンサルタント,株式会社　プリンシプル,東京都 千代田区 秋葉原駅,年収 500万円 ~ 700万円
データサイエンティスト・アナリスト,積水ハウス株式会社,東京都,"月給 284,400円 ~ 597,000円"
アナリスト,株式会社産業革新投資機構,東京都 港区,年収 740万円 ~ 940万円
国内資産運用会社の債券運用部(金利戦略)国内債券ポートフォリオ・マネジャー,タイグロンパートナーズ株式会社,東京都 港区 虎ノ門,"年収 1,000万円 ~ 1,400万円"
ESGアナリスト・リサーチャー(サステナビリティ領域の経験者採用),株式会社グレイス,東京都 中央区,年収 500万円 ~ 900万円
HRBP　/　AIベンチャー,クライス&カンパニー,東京都 港区,年収 650万円 ~ 900万円
データサイエンティスト,ヘイズ・スペシャリスト・リクルートメント・ジャパン株式会社,東京都 23区,"年収 1,100万円"
